spine_point,salary_2025_26,salary_2026_27_provisional_+2pct,basis
27,35608,36320,national
28,36636,37369,national
29,37694,38448,national
30,38784,39560,national
31,39906,40704,national
32,41064,41885,national
33,42254,43099,national
34,43482,44352,national
35,44746,45641,national
36,46049,46970,national
37,47389,48337,national
38,48822,49798,national
39,50253,51258,national
40,51753,52788,national
41,53301,54367,national
42,54893,55991,national
43,56535,57666,national
44,58225,59390,national
45,59966,61165,national
46,61759,62994,national
47,63606,64878,national
48,65509,66819,national
49,67468,68817,national
50,69488,70878,national
51,71566,72997,national
52,73710,75184,local-extension (varies)
53,75917,77435,local-extension (varies)
54,78179,79743,local-extension (varies)
55,80529,82140,local-extension (varies)
56,82935,84594,local-extension (varies)
57,85424,87132,local-extension (varies)
58,87986,89746,local-extension (varies)
